[ARTCC]
TMA LFSB TMA Bale Mulhouse               N047.34.08.000 E007.41.10.000 N047.33.02.000 E007.41.02.000
                                         N047.21.33.660 E006.58.04.332 N047.21.38.880 E006.58.14.916
                                         N047.21.38.880 E006.58.14.916 N047.21.37.008 E006.58.22.044
                                         N047.21.37.008 E006.58.22.044 N047.21.35.496 E006.58.27.948
                                         N047.21.35.496 E006.58.27.948 N047.21.48.600 E006.58.59.160
                                         N047.21.48.600 E006.58.59.160 N047.21.48.492 E006.59.22.416
                                         N047.21.48.492 E006.59.22.416 N047.21.48.384 E006.59.45.600
                                         N047.21.48.384 E006.59.45.600 N047.22.03.180 E007.00.22.032
                                         N047.22.03.180 E007.00.22.032 N047.22.21.180 E007.00.40.860
                                         N047.22.21.180 E007.00.40.860 N047.22.22.008 E007.00.44.424
                                         N047.22.22.008 E007.00.44.424 N047.22.17.328 E007.00.48.276
                                         N047.22.17.328 E007.00.48.276 N047.22.21.648 E007.00.55.404
                                         N047.22.21.648 E007.00.55.404 N047.22.22.368 E007.01.04.440
                                         N047.22.22.368 E007.01.04.440 N047.22.16.500 E007.01.05.736
                                         N047.22.16.500 E007.01.05.736 N047.22.13.080 E007.01.13.440
                                         N047.22.13.080 E007.01.13.440 N047.22.12.396 E007.01.18.084
                                         N047.22.12.396 E007.01.18.084 N047.22.09.372 E007.01.41.196
                                         N047.22.09.372 E007.01.41.196 N047.22.10.236 E007.02.00.024
                                         N047.22.10.236 E007.02.00.024 N047.22.04.332 E007.02.01.140
                                         N047.22.04.332 E007.02.01.140 N047.21.48.888 E007.02.04.092
                                         N047.21.48.888 E007.02.04.092 N047.21.50.508 E007.02.35.988
                                         N047.21.50.508 E007.02.35.988 N047.21.42.588 E007.02.56.148
                                         N047.21.42.588 E007.02.56.148 N047.21.39.888 E007.02.58.488
                                         N047.21.39.888 E007.02.58.488 N047.21.05.940 E007.03.09.324
                                         N047.21.05.940 E007.03.09.324 N047.20.59.172 E007.03.01.980
                                         N047.20.59.172 E007.03.01.980 N047.20.49.956 E007.02.59.712
                                         N047.20.49.956 E007.02.59.712 N047.20.46.752 E007.03.22.608
                                         N047.20.46.752 E007.03.22.608 N047.20.37.392 E007.03.41.868
                                         N047.20.37.392 E007.03.41.868 N047.20.23.568 E007.03.32.904
                                         N047.20.23.568 E007.03.32.904 N047.20.18.528 E007.03.16.380
                                         N047.20.18.528 E007.03.16.380 N047.20.15.900 E007.03.18.792
                                         N047.20.15.900 E007.03.18.792 N047.20.12.840 E007.03.10.512
                                         N047.20.12.840 E007.03.10.512 N047.20.07.116 E007.03.12.024
                                         N047.20.07.116 E007.03.12.024 N047.20.04.416 E007.03.21.636
                                         N047.20.04.416 E007.03.21.636 N047.20.03.804 E007.03.23.868
                                         N047.20.03.804 E007.03.23.868 N047.19.36.192 E007.02.44.592
                                         N047.19.36.192 E007.02.44.592 N047.19.35.292 E007.02.35.340
                                         N047.19.35.292 E007.02.35.340 N047.19.42.240 E007.02.03.984
                                         N047.19.42.240 E007.02.03.984 N047.19.34.788 E007.01.35.364
                                         N047.19.34.788 E007.01.35.364 N047.19.27.696 E007.00.35.064
                                         N047.19.27.696 E007.00.35.064 N047.19.14.952 E007.00.34.920
                                         N047.19.14.952 E007.00.34.920 N047.19.11.604 E007.00.48.996
                                         N047.19.11.604 E007.00.48.996 N047.18.50.328 E007.00.58.356
                                         N047.18.50.328 E007.00.58.356 N047.18.35.460 E007.00.49.572
                                         N047.18.35.460 E007.00.49.572 N047.18.28.836 E007.00.40.320
                                         N047.18.28.836 E007.00.40.320 N047.18.09.972 E007.00.34.560
                                         N047.18.09.972 E007.00.34.560 N047.18.04.644 E007.00.29.700
                                         N047.18.04.644 E007.00.29.700 N047.18.04.680 E007.00.26.640
                                         N047.18.04.680 E007.00.26.640 N047.18.03.744 E007.00.24.156
                                         N047.18.03.744 E007.00.24.156 N047.18.03.996 E007.00.12.672
                                         N047.18.03.996 E007.00.12.672 N047.17.44.988 E006.59.48.264
                                         N047.17.44.988 E006.59.48.264 N047.17.47.436 E006.59.20.436
                                         N047.17.47.436 E006.59.20.436 N047.17.42.828 E006.59.02.904
                                         N047.17.42.828 E006.59.02.904 N047.17.45.780 E006.58.36.912
                                         N047.17.45.780 E006.58.36.912 N047.17.34.584 E006.58.35.292
                                         N047.17.34.584 E006.58.35.292 N047.17.29.256 E006.58.28.848
                                         N047.17.29.256 E006.58.28.848 N047.17.28.068 E006.58.23.808
                                         N047.17.28.068 E006.58.23.808 N047.17.32.892 E006.58.06.564
                                         N047.17.32.892 E006.58.06.564 N047.17.32.000 E006.57.53.000
                                         N047.17.32.000 E006.57.53.000 N047.20.00.000 E006.36.12.000
