; ============================================ LFRS AVISO v2 ============================================

[GEO]

LFRS AVISO v2 N047.09.52.650 W001.36.07.250 N047.09.52.071 W001.36.07.693 COLOR_RunwayBorder
N047.09.33.248 W001.36.13.097
N047.09.33.056 W001.36.13.171
N047.09.32.866 W001.36.13.295
N047.09.29.894 W001.36.15.561
N047.09.29.748 W001.36.15.674
N047.09.29.606 W001.36.15.827
N047.09.29.406 W001.36.16.111
N047.09.29.257 W001.36.16.389
N047.09.29.169 W001.36.16.680
N047.09.29.121 W001.36.16.926
N047.09.29.101 W001.36.17.150
N047.09.29.105 W001.36.17.411
N047.09.29.135 W001.36.17.630
N047.09.29.229 W001.36.18.068
N047.09.29.348 W001.36.18.458
N047.09.29.948 W001.36.19.706
N047.09.29.337 W001.36.20.134
N047.09.29.280 W001.36.19.972
N047.09.29.083 W001.36.19.500
N047.09.28.907 W001.36.19.149
N047.09.28.617 W001.36.18.713
N047.09.28.322 W001.36.18.315
N047.09.28.109 W001.36.18.061
N047.09.27.970 W001.36.17.943
N047.09.27.806 W001.36.17.847
N047.09.27.577 W001.36.17.785
N047.09.27.381 W001.36.17.771
N047.09.27.241 W001.36.17.792
N047.09.26.760 W001.36.17.970
N047.09.26.603 W001.36.18.064
N047.09.25.512 W001.36.18.901
N047.09.24.016 W001.36.20.359
N047.09.23.853 W001.36.20.535
N047.09.23.755 W001.36.20.692
N047.09.23.594 W001.36.21.043
N047.09.23.487 W001.36.21.414
N047.09.23.427 W001.36.21.816
N047.09.23.398 W001.36.22.150
N047.09.23.394 W001.36.22.612
N047.09.23.408 W001.36.22.770
N047.09.23.441 W001.36.22.902
N047.09.24.047 W001.36.24.192
N047.09.23.053 W001.36.24.932
N047.09.22.431 W001.36.23.590
N047.09.22.191 W001.36.23.138
N047.09.21.983 W001.36.22.918
N047.09.21.847 W001.36.22.814
N047.09.21.706 W001.36.22.742
N047.09.21.478 W001.36.22.660
N047.09.21.238 W001.36.22.650
N047.09.20.958 W001.36.22.714
N047.09.20.708 W001.36.22.822
N047.09.19.544 W001.36.23.494
N047.09.18.782 W001.36.24.022
N047.08.55.813 W001.36.41.512
N047.08.55.647 W001.36.41.674
N047.08.55.229 W001.36.42.220
N047.08.55.022 W001.36.42.539
N047.08.54.865 W001.36.42.848
N047.08.54.748 W001.36.43.197
N047.08.54.668 W001.36.43.517
N047.08.54.409 W001.36.44.707
N047.08.54.283 W001.36.45.399
N047.08.54.207 W001.36.45.929
N047.08.54.159 W001.36.46.377
N047.08.54.145 W001.36.46.726
N047.08.54.144 W001.36.46.929
N047.08.53.190 W001.36.46.538
N047.08.53.875 W001.36.42.991
N047.08.33.021 W001.36.58.855
N047.08.32.494 W001.36.59.268
N047.08.32.005 W001.36.59.707
N047.08.31.221 W001.37.00.496
N047.08.31.122 W001.37.00.608
N047.08.30.848 W001.37.00.976
N047.08.30.703 W001.37.01.209
N047.08.30.598 W001.37.01.422
N047.08.30.525 W001.37.01.660
N047.08.29.704 W001.37.01.118

REGIONNAME LFRS AVISO v2
COLOR_GrasSurface N047.09.25.237 W001.36.15.722
N047.09.25.302 W001.36.16.011
N047.09.25.343 W001.36.16.316
N047.09.25.339 W001.36.16.625
N047.09.25.319 W001.36.16.924
N047.09.25.216 W001.36.17.304
N047.09.25.075 W001.36.17.618
N047.09.24.898 W001.36.17.861
N047.09.23.253 W001.36.19.145
N047.09.22.859 W001.36.19.335
N047.09.22.487 W001.36.19.372
N047.09.22.127 W001.36.19.306
N047.09.21.758 W001.36.19.089
N047.09.21.389 W001.36.18.663
N047.09.21.043 W001.36.17.998
N047.09.19.599 W001.36.15.016
N047.09.19.409 W001.36.14.590
N047.09.19.318 W001.36.14.314
N047.09.19.223 W001.36.13.822
N047.09.19.200 W001.36.13.325
N047.09.19.250 W001.36.12.801
N047.09.19.361 W001.36.12.312
N047.09.19.561 W001.36.11.832
N047.09.19.869 W001.36.11.367
N047.09.20.181 W001.36.11.030
N047.09.20.525 W001.36.10.803
N047.09.20.854 W001.36.10.663
N047.09.21.227 W001.36.10.618
N047.09.21.508 W001.36.10.646
N047.09.21.742 W001.36.10.731
N047.09.21.933 W001.36.10.845
N047.09.22.128 W001.36.11.083
N047.09.23.764 W001.36.13.279
N047.09.24.696 W001.36.14.610
N047.09.24.991 W001.36.15.102

REGIONNAME LFRS AVISO v2
