; ======================================================== LFRN AVISO ========================================================

[GEO]

LFRN AVISO N048.04.22.557 W001.43.17.632 N048.04.20.289 W001.43.22.514 COLOR_Taxiway
N048.04.19.796 W001.43.25.358
N048.04.19.575 W001.43.25.164
N048.04.19.459 W001.43.25.078
N048.04.19.285 W001.43.25.008
N048.04.19.049 W001.43.24.971
N048.04.18.890 W001.43.24.965
N048.04.18.764 W001.43.24.991
N048.04.18.024 W001.43.25.191
N048.04.17.875 W001.43.24.049

REGIONNAME LFRN AVISO
COLOR_HardSurface3 N048.04.19.637 W001.43.19.057
N048.04.20.566 W001.43.17.904
N048.04.20.716 W001.43.17.843
N048.04.22.619 W001.43.17.337
N048.04.24.356 W001.43.30.665
N048.04.21.126 W001.43.31.607
N048.04.19.826 W001.43.21.286
N048.04.19.573 W001.43.19.212

REGIONNAME LFRN AVISO
COLOR_HardSurface3 N048.04.08.503 W001.43.23.344
N048.04.11.594 W001.43.47.779
N048.04.11.605 W001.43.47.936
N048.04.11.589 W001.43.48.034
N048.04.11.537 W001.43.48.123
N048.04.11.460 W001.43.48.162
N048.04.09.044 W001.43.48.835
N048.04.05.550 W001.43.20.943
N048.04.08.053 W001.43.20.224
N048.04.08.014 W001.43.19.870
N048.04.08.688 W001.43.19.675
N048.04.08.502 W001.43.23.238

REGIONNAME LFRN AVISO
COLOR_HardSurface3 N048.03.53.482 W001.43.49.181
N048.03.53.649 W001.43.49.013
N048.03.53.823 W001.43.48.810
N048.03.55.440 W001.43.46.370
N048.03.54.848 W001.43.45.557
N048.03.54.965 W001.43.45.360
N048.03.54.565 W001.43.44.833
N048.03.55.086 W001.43.44.057
N048.03.55.446 W001.43.44.602
N048.03.55.333 W001.43.44.787
N048.03.55.929 W001.43.45.644
N048.03.56.016 W001.43.45.495
N048.03.56.032 W001.43.45.356
N048.03.56.006 W001.43.45.182
N048.03.55.674 W001.43.44.589
N048.03.56.906 W001.43.42.696
N048.03.57.010 W001.43.42.872
N048.03.57.572 W001.43.43.126
N048.03.58.233 W001.43.42.096
N048.03.59.559 W001.43.40.043
N048.04.00.882 W001.43.41.987
N048.03.59.070 W001.43.44.846
N048.03.58.804 W001.43.44.476
N048.03.57.621 W001.43.46.248
N048.03.57.789 W001.43.46.510
N048.03.57.617 W001.43.46.808
N048.03.57.684 W001.43.46.928
N048.03.57.463 W001.43.47.417
N048.03.58.664 W001.43.49.238
N048.03.58.890 W001.43.48.912
N048.03.59.873 W001.43.50.325
N048.04.00.049 W001.43.50.674
N048.04.00.063 W001.43.51.011
N048.03.59.996 W001.43.51.308
N048.03.57.174 W001.43.55.594
N048.03.55.561 W001.43.53.725
N048.03.55.734 W001.43.53.458
N048.03.54.581 W001.43.51.677
N048.03.54.320 W001.43.52.082
N048.03.53.848 W001.43.51.325
N048.03.53.678 W001.43.50.975
N048.03.53.610 W001.43.50.382
N048.03.53.638 W001.43.50.036
N048.03.53.631 W001.43.49.895
N048.03.53.570 W001.43.49.818
N048.03.53.301 W001.43.49.856
N048.03.53.229 W001.43.49.296

REGIONNAME LFRN AVISO
COLOR_HardSurface3 N048.03.47.430 W001.43.42.646
N048.03.47.987 W001.43.41.571
N048.03.48.793 W001.43.40.276
N048.03.52.629 W001.43.45.919
N048.03.51.647 W001.43.47.474
N048.03.51.541 W001.43.47.691
N048.03.51.523 W001.43.47.882
N048.03.51.590 W001.43.48.083
N048.03.51.223 W001.43.48.258

REGIONNAME LFRN AVISO
COLOR_HardSurface3 N048.03.45.757 W001.44.04.448
N048.03.45.488 W001.44.05.016
N048.03.45.847 W001.44.05.471
N048.03.44.873 W001.44.07.294
N048.03.42.567 W001.44.04.520
N048.03.42.688 W001.44.04.282
N048.03.42.619 W001.44.04.208
