COLOR_GrasSurface
 
COLOR_RunwayGrass
N046.10.39.365 W001.11.44.228
N046.10.39.568 W001.11.49.305
N046.10.39.383 W001.11.49.636
N046.10.38.982 W001.11.49.662
N046.10.38.878 W001.11.49.596
N046.10.36.339 W001.11.47.302
N046.10.37.238 W001.11.45.226
N046.10.37.412 W001.11.45.101
N046.10.37.488 W001.11.45.038
N046.10.37.532 W001.11.44.993
N046.10.37.562 W001.11.44.927
N046.10.37.593 W001.11.44.823
N046.10.37.606 W001.11.44.730
N046.10.37.610 W001.11.44.640
N046.10.37.603 W001.11.44.317
N046.10.38.948 W001.11.44.234
N046.10.39.199 W001.11.44.231
 
COLOR_HardSurface3
N046.10.25.539 W001.11.24.519
N046.10.26.618 W001.11.24.458
N046.10.26.741 W001.11.27.732
N046.10.25.626 W001.11.27.786
 
COLOR_HardSurface3
N046.10.36.170 W001.11.41.672
N046.10.36.116 W001.11.41.585
N046.10.36.075 W001.11.41.528
N046.10.36.016 W001.11.41.438
N046.10.35.958 W001.11.41.379
N046.10.35.907 W001.11.41.343
N046.10.35.861 W001.11.41.328
N046.10.35.797 W001.11.41.320
N046.10.35.395 W001.11.41.333
N046.10.34.678 W001.11.41.381
N046.10.34.635 W001.11.41.334
N046.10.34.596 W001.11.41.258
N046.10.34.564 W001.11.41.181
N046.10.34.529 W001.11.41.091
N046.10.34.506 W001.11.41.030
N046.10.34.499 W001.11.40.847
N046.10.34.180 W001.11.30.473
N046.10.34.001 W001.11.30.628
N046.10.33.998 W001.11.30.492
N046.10.33.994 W001.11.30.398
N046.10.33.989 W001.11.30.328
N046.10.33.980 W001.11.30.266
N046.10.33.967 W001.11.30.215
N046.10.33.954 W001.11.30.189
N046.10.33.938 W001.11.30.182
N046.10.33.920 W001.11.30.183
N046.10.33.849 W001.11.30.225
N046.10.31.664 W001.11.31.797
N046.10.31.627 W001.11.31.829
N046.10.31.605 W001.11.31.855
N046.10.31.584 W001.11.31.878
N046.10.31.580 W001.11.31.891
N046.10.31.579 W001.11.31.907
N046.10.32.056 W001.11.33.353
N046.10.27.389 W001.11.36.673
N046.10.26.871 W001.11.35.207
N046.10.26.828 W001.11.35.247
N046.10.26.786 W001.11.35.285
N046.10.26.741 W001.11.35.335
N046.10.26.704 W001.11.35.388
N046.10.26.685 W001.11.35.432
N046.10.26.674 W001.11.35.453
N046.10.26.719 W001.11.35.605
N046.10.26.779 W001.11.35.784
N046.10.26.852 W001.11.36.016
N046.10.26.957 W001.11.36.330
N046.10.27.035 W001.11.36.560
N046.10.27.121 W001.11.36.798
N046.10.26.614 W001.11.37.184
N046.10.26.267 W001.11.36.150
N046.10.26.416 W001.11.36.047
N046.10.26.394 W001.11.35.904
N046.10.26.378 W001.11.35.781
N046.10.26.376 W001.11.35.666
N046.10.26.388 W001.11.35.570
N046.10.26.414 W001.11.35.465
N046.10.26.445 W001.11.35.373
N046.10.26.477 W001.11.35.299
N046.10.26.505 W001.11.35.254
N046.10.26.521 W001.11.35.228
N046.10.26.526 W001.11.35.200
N046.10.26.522 W001.11.35.175
N046.10.26.514 W001.11.35.165
N046.10.26.506 W001.11.35.161
N046.10.26.493 W001.11.35.163
N046.10.26.285 W001.11.35.186
N046.10.26.243 W001.11.35.196
N046.10.26.207 W001.11.35.210
N046.10.26.176 W001.11.35.234
N046.10.26.144 W001.11.35.264
N046.10.26.122 W001.11.35.300
N046.10.26.110 W001.11.35.339
N046.10.26.104 W001.11.35.384
N046.10.26.105 W001.11.35.776
N046.10.25.678 W001.11.35.790
N046.10.25.630 W001.11.34.332
N046.10.26.059 W001.11.34.314
N046.10.26.063 W001.11.34.683
N046.10.26.067 W001.11.34.737
N046.10.26.077 W001.11.34.781
N046.10.26.093 W001.11.34.823
N046.10.26.115 W001.11.34.855
N046.10.26.144 W001.11.34.886
N046.10.26.179 W001.11.34.915
N046.10.26.209 W001.11.34.927
N046.10.26.260 W001.11.34.928
N046.10.26.574 W001.11.34.898
N046.10.26.656 W001.11.34.891
N046.10.26.705 W001.11.34.890
N046.10.26.739 W001.11.34.891
N046.10.26.772 W001.11.34.894
N046.10.26.800 W001.11.34.890
N046.10.26.829 W001.11.34.878
N046.10.27.035 W001.11.34.724
N046.10.34.134 W001.11.29.684
N046.10.35.232 W001.11.28.872
N046.10.35.479 W001.11.28.700
N046.10.35.642 W001.11.28.613
N046.10.35.776 W001.11.28.559
N046.10.35.910 W001.11.28.530
N046.10.36.015 W001.11.28.530
N046.10.36.122 W001.11.28.549
N046.10.36.234 W001.11.28.580
N046.10.36.331 W001.11.28.626
N046.10.36.435 W001.11.28.688
N046.10.36.541 W001.11.28.771
N046.10.36.613 W001.11.28.831
N046.10.36.682 W001.11.28.913
N046.10.36.738 W001.11.28.995
N046.10.36.783 W001.11.29.084
N046.10.36.842 W001.11.29.220
N046.10.36.892 W001.11.29.350
N046.10.36.920 W001.11.29.446
N046.10.36.953 W001.11.29.570
N046.10.36.977 W001.11.29.751
N046.10.36.987 W001.11.29.942
N046.10.37.069 W001.11.32.557
N046.10.35.945 W001.11.32.677
N046.10.36.206 W001.11.41.743
 
COLOR_HardSurface3
N046.10.25.708 W001.11.33.095
N046.10.25.659 W001.11.31.789
N046.10.25.184 W001.11.31.767
N046.10.25.181 W001.11.31.430
N046.10.26.215 W001.11.31.375
N046.10.26.261 W001.11.31.377
N046.10.26.296 W001.11.31.387
N046.10.26.342 W001.11.31.416
N046.10.26.386 W001.11.31.449
N046.10.26.419 W001.11.31.490
N046.10.26.451 W001.11.31.539
N046.10.26.478 W001.11.31.597
N046.10.26.499 W001.11.31.663
N046.10.26.510 W001.11.31.720
N046.10.26.512 W001.11.31.780
N046.10.26.689 W001.11.31.775
N046.10.26.721 W001.11.33.179
N046.10.25.875 W001.11.33.240
N046.10.25.873 W001.11.33.272
N046.10.25.871 W001.11.33.306
N046.10.25.861 W001.11.33.349
N046.10.25.847 W001.11.33.381
N046.10.25.828 W001.11.33.400
N046.10.25.796 W001.11.33.420
N046.10.25.621 W001.11.33.435
N046.10.25.605 W001.11.33.087
 
COLOR_HardSurface3
N046.10.36.298 W001.11.43.878
N046.10.36.271 W001.11.43.920
N046.10.36.240 W001.11.43.981
N046.10.36.153 W001.11.44.146
N046.10.35.884 W001.11.44.694
N046.10.35.635 W001.11.45.174
N046.10.35.636 W001.11.45.203
N046.10.35.643 W001.11.45.221
N046.10.35.813 W001.11.45.402
N046.10.35.437 W001.11.46.261
N046.10.35.426 W001.11.46.323
N046.10.35.428 W001.11.46.376
N046.10.35.437 W001.11.46.430
N046.10.35.457 W001.11.46.492
N046.10.35.491 W001.11.46.562
N046.10.35.549 W001.11.46.641
N046.10.35.638 W001.11.46.740
N046.10.35.776 W001.11.46.853
N046.10.35.810 W001.11.46.870
N046.10.35.842 W001.11.46.867
N046.10.35.874 W001.11.46.859
N046.10.36.111 W001.11.47.269
N046.10.36.119 W001.11.47.314
N046.10.36.143 W001.11.47.356
N046.10.36.190 W001.11.47.426
N046.10.36.256 W001.11.47.505
N046.10.36.362 W001.11.47.611
N046.10.38.916 W001.11.49.873
N046.10.39.393 W001.11.50.312
N046.10.39.418 W001.11.50.336
N046.10.39.429 W001.11.50.365
N046.10.39.432 W001.11.50.401
N046.10.39.425 W001.11.50.439
N046.10.39.411 W001.11.50.477
N046.10.38.848 W001.11.51.645
N046.10.38.450 W001.11.51.270
N046.10.37.591 W001.11.50.490
N046.10.37.329 W001.11.50.243
N046.10.36.235 W001.11.49.262
N046.10.35.936 W001.11.48.944
N046.10.35.253 W001.11.48.326
N046.10.35.153 W001.11.48.240
N046.10.35.109 W001.11.47.927
N046.10.34.879 W001.11.47.734
N046.10.35.052 W001.11.47.265
N046.10.35.063 W001.11.47.208
N046.10.35.070 W001.11.47.140
N046.10.35.066 W001.11.47.088
N046.10.35.048 W001.11.47.026
N046.10.35.023 W001.11.46.946
N046.10.34.997 W001.11.46.874
N046.10.34.969 W001.11.46.810
N046.10.32.675 W001.11.44.549
N046.10.33.025 W001.11.43.759
N046.10.33.029 W001.11.43.722
N046.10.33.028 W001.11.43.694
N046.10.33.017 W001.11.43.665
N046.10.32.995 W001.11.43.634
N046.10.32.868 W001.11.43.503
N046.10.32.919 W001.11.43.348
N046.10.33.114 W001.11.43.496
N046.10.33.306 W001.11.43.037
N046.10.33.062 W001.11.42.668
N046.10.33.099 W001.11.42.555
N046.10.33.155 W001.11.42.628
N046.10.33.224 W001.11.42.710
N046.10.33.290 W001.11.42.778
N046.10.33.376 W001.11.42.846
N046.10.33.454 W001.11.42.887
N046.10.33.526 W001.11.42.912
N046.10.33.602 W001.11.42.924
N046.10.33.670 W001.11.42.923
N046.10.33.733 W001.11.42.916
N046.10.33.797 W001.11.42.903
N046.10.33.868 W001.11.42.872
N046.10.33.957 W001.11.42.818
N046.10.34.035 W001.11.42.745
N046.10.34.150 W001.11.42.940
N046.10.34.121 W001.11.43.181
N046.10.34.121 W001.11.43.255
N046.10.34.130 W001.11.43.310
N046.10.34.151 W001.11.43.363
N046.10.34.173 W001.11.43.407
N046.10.34.205 W001.11.43.442
N046.10.34.279 W001.11.43.496
