N048.59.59.954 E002.34.49.907 R
N049.00.00.784 E002.35.06.844 R
N049.00.01.550 E002.35.18.427 R
N049.00.01.997 E002.35.29.621 R
N049.00.02.635 E002.35.38.869 R
N049.00.02.827 E002.35.44.514 R
N049.00.03.082 E002.35.50.355 R
N049.00.03.465 E002.35.56.779 R
N049.00.03.785 E002.36.04.079 R
N049.00.04.359 E002.36.11.477 R
N049.00.04.870 E002.36.24.715 R1
N048.59.57.438 E002.33.22.331 RN1
N048.59.55.344 E002.33.28.561 RN2
N049.01.03.170 E002.33.00.090 RN
N049.00.49.060 E002.33.02.650 RS
N049.00.04.359 E002.35.41.847 RP10
N049.00.04.678 E002.35.46.909 RP11
N049.00.05.125 E002.35.53.333 RP12
N049.00.05.572 E002.35.59.465 RP13
N049.00.06.019 E002.36.07.739 RP14
N049.00.06.530 E002.36.13.774 RP15
N048.59.54.527 E002.33.36.669 RT1
N048.59.54.782 E002.33.45.624 RT2
N048.59.55.421 E002.33.57.305 RT3
N048.59.56.251 E002.34.12.295 RT4
N048.59.58.677 E002.34.58.337 RT5
N048.59.59.634 E002.35.14.495 RT7
N049.00.00.145 E002.35.24.229 RT8
N049.00.00.784 E002.35.35.715 RT9
N049.00.01.103 E002.35.42.334 RT10
N049.00.01.294 E002.35.47.103 RT11
N049.00.01.550 E002.35.53.820 RT12
N049.00.01.933 E002.35.59.952 RT13
N049.00.02.380 E002.36.08.129 RT14
N049.00.02.635 E002.36.14.066 RT15
N048.59.49.770 E002.33.01.260 T
N048.59.50.060 E002.33.06.990 T
N048.59.50.370 E002.33.13.760 T
N048.59.50.880 E002.33.22.250 T
N048.59.52.110 E002.33.30.900 T
N048.59.52.866 E002.33.41.442 T
N048.59.53.398 E002.33.51.784 T
N048.59.54.329 E002.34.06.994 T
N048.59.55.261 E002.34.25.246 T
N048.59.56.724 E002.34.52.420 T
N048.59.57.522 E002.35.07.021 T
N048.59.58.187 E002.35.19.189 T
N048.59.58.852 E002.35.31.154 T
N048.59.59.938 E002.35.51.039 T
N049.00.00.482 E002.36.05.056 T
N049.00.00.959 E002.36.11.597 T
N048.59.58.996 E002.33.09.901 U
N048.59.58.677 E002.33.02.990 U
N048.59.58.230 E002.32.56.176 U
N048.59.57.719 E002.32.42.646 U
N048.59.56.697 E002.32.21.037 U
N048.59.49.930 E002.32.07.507 U
N048.59.38.820 E002.31.58.844 U
N048.59.27.838 E002.32.00.206 U
N048.59.55.931 E002.33.10.874 C
N048.59.55.484 E002.33.03.963 C
N048.59.55.101 E002.32.57.052 C
N048.59.54.399 E002.32.43.619 C
N048.59.53.377 E002.32.24.152 C
N048.59.47.823 E002.32.11.108 C
N048.59.39.076 E002.32.04.781 C
N048.59.29.051 E002.32.05.949 C
N048.59.24.454 E002.32.11.303 C1
N048.59.35.181 E002.32.09.454 C2
N048.59.23.752 E002.32.04.003 UC1
N048.59.32.435 E002.32.02.932 UC2
N048.59.45.480 E002.32.03.990 UC3
N048.59.52.930 E002.32.13.542 UC4
N048.59.55.484 E002.32.32.718 UC5
N048.59.56.634 E002.32.53.256 UT1
N048.59.53.060 E002.32.53.910 UT1
N048.59.56.953 E002.32.59.778 UT2
N048.59.53.530 E002.33.01.610 UT2
N048.59.57.336 E002.33.06.884 UT3
N048.59.53.870 E002.33.08.490 UT3
N048.59.57.719 E002.33.13.600 UT4
N048.59.54.290 E002.33.15.260 UT4
N048.59.46.743 E002.33.08.109 T1
N048.59.47.126 E002.33.17.356 T2
N048.59.47.445 E002.33.29.524 T3
N048.59.47.892 E002.33.37.311 T4
N048.59.48.211 E002.33.46.266 T5
N048.59.49.416 E002.33.58.176 T6
N048.59.54.377 E002.35.47.596 T9
N048.59.55.075 E002.35.57.786 T10
N048.59.55.574 E002.36.06.608 T11
N048.59.55.873 E002.36.12.691 T12
N049.00.00.088 E002.36.36.627 R1
N048.59.49.377 E002.33.52.520 W1
N048.59.51.164 E002.34.15.784 W2
N048.59.51.803 E002.34.32.040 W4
N048.59.55.251 E002.34.38.075 WT
N048.59.52.314 E002.34.45.278 W3
N048.59.54.293 E002.35.03.772 W5
N048.59.54.995 E002.35.27.523 W6
N048.59.43.962 E002.33.37.863 S1
N048.59.44.473 E002.33.46.818 S2
N048.59.44.984 E002.33.58.577 S3
N048.59.50.963 E002.35.48.436 S6
N048.59.51.522 E002.35.58.535 S7
N048.59.51.921 E002.36.05.957 S9
N048.59.40.668 E002.33.53.576 S
N048.59.41.546 E002.34.11.948 S
N048.59.42.583 E002.34.30.565 S
N048.59.46.015 E002.35.31.888 S
N048.59.46.654 E002.35.45.029 S
N048.59.47.053 E002.35.55.249 S
N048.59.47.452 E002.36.03.158 S
N049.00.03.370 E002.35.53.590 SE1
N049.00.03.690 E002.35.59.700 SE2
N049.00.04.140 E002.36.08.060 SE3
N049.00.04.480 E002.36.14.190 SE4
N048.59.51.560 E002.32.54.340 SW1
N048.59.52.470 E002.33.02.080 SW2
N048.59.52.810 E002.33.08.890 SW3
N048.59.53.290 E002.33.15.670 SW4
N048.59.36.757 E002.33.55.158 V1
N048.59.36.997 E002.34.01.120 V2
N048.59.39.152 E002.34.14.504 V3
N048.59.40.508 E002.34.45.530 V4
N048.59.42.583 E002.35.18.626 V5
N048.59.43.780 E002.35.42.717 V6
N048.59.43.621 E002.35.58.048 V7
N048.59.44.020 E002.36.07.417 V9
