N044.10.24.998 E000.35.44.915 N044.10.25.068 E000.35.44.959 COLOR_Taxiway ; Taxiway
N044.10.25.068 E000.35.44.959 N044.10.29.005 E000.35.47.173 COLOR_Taxiway ; Taxiway
N044.10.30.739 E000.35.22.027 N044.10.30.736 E000.35.22.133 COLOR_Taxiway ; Taxiway-WNG
N044.10.30.736 E000.35.22.133 N044.10.30.739 E000.35.22.223 COLOR_Taxiway ; Taxiway-WNG
N044.10.30.739 E000.35.22.223 N044.10.30.753 E000.35.22.281 COLOR_Taxiway ; Taxiway-WNG
N044.10.30.753 E000.35.22.281 N044.10.30.773 E000.35.22.355 COLOR_Taxiway ; Taxiway-WNG
N044.10.30.773 E000.35.22.355 N044.10.30.804 E000.35.22.422 COLOR_Taxiway ; Taxiway-WNG
N044.10.30.804 E000.35.22.422 N044.10.30.851 E000.35.22.484 COLOR_Taxiway ; Taxiway-WNG
N044.10.30.851 E000.35.22.484 N044.10.30.913 E000.35.22.582 COLOR_Taxiway ; Taxiway-WNG
N044.10.30.913 E000.35.22.582 N044.10.31.112 E000.35.22.816 COLOR_Taxiway ; Taxiway-WNG
N044.10.31.112 E000.35.22.816 N044.10.35.135 E000.35.26.564 COLOR_Taxiway ; Taxiway-WNG
N044.10.35.135 E000.35.26.564 N044.10.34.408 E000.35.28.940 COLOR_Taxiway ; Taxiway-WNG
N044.10.34.408 E000.35.28.940 N044.10.34.377 E000.35.29.087 COLOR_Taxiway ; Taxiway-WNG
N044.10.34.377 E000.35.29.087 N044.10.34.382 E000.35.29.232 COLOR_Taxiway ; Taxiway-WNG
N044.10.34.382 E000.35.29.232 N044.10.34.406 E000.35.29.394 COLOR_Taxiway ; Taxiway-WNG
N044.10.34.406 E000.35.29.394 N044.10.34.448 E000.35.29.527 COLOR_Taxiway ; Taxiway-WNG
N044.10.34.448 E000.35.29.527 N044.10.34.502 E000.35.29.619 COLOR_Taxiway ; Taxiway-WNG
N044.10.34.502 E000.35.29.619 N044.10.34.581 E000.35.29.706 COLOR_Taxiway ; Taxiway-WNG
N044.10.34.581 E000.35.29.706 N044.10.36.043 E000.35.30.693 COLOR_Taxiway ; Taxiway-WNG
N044.10.30.349 E000.35.23.352 N044.10.30.414 E000.35.23.270 COLOR_Taxiway ; Taxiway-WM
N044.10.30.414 E000.35.23.270 N044.10.30.461 E000.35.23.216 COLOR_Taxiway ; Taxiway-WM
N044.10.30.461 E000.35.23.216 N044.10.30.513 E000.35.23.171 COLOR_Taxiway ; Taxiway-WM
N044.10.30.513 E000.35.23.171 N044.10.30.572 E000.35.23.128 COLOR_Taxiway ; Taxiway-WM
N044.10.30.572 E000.35.23.128 N044.10.30.650 E000.35.23.116 COLOR_Taxiway ; Taxiway-WM
N044.10.30.650 E000.35.23.116 N044.10.30.728 E000.35.23.101 COLOR_Taxiway ; Taxiway-WM
N044.10.30.728 E000.35.23.101 N044.10.30.799 E000.35.23.107 COLOR_Taxiway ; Taxiway-WM
N044.10.30.799 E000.35.23.107 N044.10.30.869 E000.35.23.119 COLOR_Taxiway ; Taxiway-WM
N044.10.30.869 E000.35.23.119 N044.10.30.944 E000.35.23.143 COLOR_Taxiway ; Taxiway-WM
N044.10.30.944 E000.35.23.143 N044.10.31.022 E000.35.23.189 COLOR_Taxiway ; Taxiway-WM
N044.10.31.022 E000.35.23.189 N044.10.31.066 E000.35.23.213 COLOR_Taxiway ; Taxiway-WM
N044.10.31.066 E000.35.23.213 N044.10.34.250 E000.35.26.208 COLOR_Taxiway ; Taxiway-WM
N044.10.34.250 E000.35.26.208 N044.10.34.348 E000.35.26.307 COLOR_Taxiway ; Taxiway-WM
N044.10.34.348 E000.35.26.307 N044.10.34.397 E000.35.26.405 COLOR_Taxiway ; Taxiway-WM
N044.10.34.397 E000.35.26.405 N044.10.34.435 E000.35.26.503 COLOR_Taxiway ; Taxiway-WM
N044.10.34.435 E000.35.26.503 N044.10.34.462 E000.35.26.604 COLOR_Taxiway ; Taxiway-WM
N044.10.34.462 E000.35.26.604 N044.10.34.483 E000.35.26.713 COLOR_Taxiway ; Taxiway-WM
N044.10.34.483 E000.35.26.713 N044.10.34.478 E000.35.26.849 COLOR_Taxiway ; Taxiway-WM
N044.10.34.478 E000.35.26.849 N044.10.34.462 E000.35.26.969 COLOR_Taxiway ; Taxiway-WM
N044.10.34.462 E000.35.26.969 N044.10.34.427 E000.35.27.097 COLOR_Taxiway ; Taxiway-WM
N044.10.34.427 E000.35.27.097 N044.10.34.143 E000.35.28.091 COLOR_Taxiway ; Taxiway-WM
N044.10.34.143 E000.35.28.091 N044.10.34.016 E000.35.28.532 COLOR_Taxiway ; Taxiway-WM
N044.10.34.016 E000.35.28.532 N044.10.33.966 E000.35.28.643 COLOR_Taxiway ; Taxiway-WM
N044.10.33.966 E000.35.28.643 N044.10.33.921 E000.35.28.732 COLOR_Taxiway ; Taxiway-WM
N044.10.33.921 E000.35.28.732 N044.10.33.875 E000.35.28.799 COLOR_Taxiway ; Taxiway-WM
N044.10.33.875 E000.35.28.799 N044.10.33.820 E000.35.28.843 COLOR_Taxiway ; Taxiway-WM
N044.10.33.820 E000.35.28.843 N044.10.33.769 E000.35.28.884 COLOR_Taxiway ; Taxiway-WM
N044.10.33.769 E000.35.28.884 N044.10.33.713 E000.35.28.917 COLOR_Taxiway ; Taxiway-WM
N044.10.33.713 E000.35.28.917 N044.10.33.652 E000.35.28.940 COLOR_Taxiway ; Taxiway-WM
N044.10.33.652 E000.35.28.940 N044.10.33.586 E000.35.28.951 COLOR_Taxiway ; Taxiway-WM
N044.10.33.586 E000.35.28.951 N044.10.33.530 E000.35.28.955 COLOR_Taxiway ; Taxiway-WM
N044.10.33.530 E000.35.28.955 N044.10.33.477 E000.35.28.943 COLOR_Taxiway ; Taxiway-WM
N044.10.33.477 E000.35.28.943 N044.10.33.410 E000.35.28.910 COLOR_Taxiway ; Taxiway-WM
N044.10.33.410 E000.35.28.910 N044.10.33.336 E000.35.28.866 COLOR_Taxiway ; Taxiway-WM
N044.10.33.336 E000.35.28.866 N044.10.30.299 E000.35.26.814 COLOR_Taxiway ; Taxiway-WM
N044.10.30.299 E000.35.26.814 N044.10.30.216 E000.35.26.769 COLOR_Taxiway ; Taxiway-WM
N044.10.30.216 E000.35.26.769 N044.10.30.159 E000.35.26.711 COLOR_Taxiway ; Taxiway-WM
N044.10.30.159 E000.35.26.711 N044.10.30.092 E000.35.26.642 COLOR_Taxiway ; Taxiway-WM
N044.10.30.092 E000.35.26.642 N044.10.30.043 E000.35.26.587 COLOR_Taxiway ; Taxiway-WM
N044.10.30.043 E000.35.26.587 N044.10.29.999 E000.35.26.519 COLOR_Taxiway ; Taxiway-WM
N044.10.29.999 E000.35.26.519 N044.10.29.955 E000.35.26.446 COLOR_Taxiway ; Taxiway-WM
N044.10.29.955 E000.35.26.446 N044.10.29.915 E000.35.26.364 COLOR_Taxiway ; Taxiway-WM
N044.10.29.915 E000.35.26.364 N044.10.29.873 E000.35.26.285 COLOR_Taxiway ; Taxiway-WM
N044.10.29.873 E000.35.26.285 N044.10.29.844 E000.35.26.199 COLOR_Taxiway ; Taxiway-WM
N044.10.29.844 E000.35.26.199 N044.10.29.812 E000.35.26.120 COLOR_Taxiway ; Taxiway-WM
N044.10.29.812 E000.35.26.120 N044.10.29.782 E000.35.25.990 COLOR_Taxiway ; Taxiway-WM
N044.10.29.782 E000.35.25.990 N044.10.29.768 E000.35.25.849 COLOR_Taxiway ; Taxiway-WM
N044.10.29.768 E000.35.25.849 N044.10.29.758 E000.35.25.729 COLOR_Taxiway ; Taxiway-WM
N044.10.29.758 E000.35.25.729 N044.10.29.750 E000.35.25.606 COLOR_Taxiway ; Taxiway-WM
N044.10.29.750 E000.35.25.606 N044.10.29.750 E000.35.25.493 COLOR_Taxiway ; Taxiway-WM
N044.10.29.750 E000.35.25.493 N044.10.29.758 E000.35.25.366 COLOR_Taxiway ; Taxiway-WM
N044.10.35.714 E000.35.31.534 N044.10.35.671 E000.35.31.304 COLOR_Taxiway ; Taxiway-NE
N044.10.35.671 E000.35.31.304 N044.10.35.468 E000.35.31.122 COLOR_Taxiway ; Taxiway-NE
N044.10.35.468 E000.35.31.122 N044.10.34.738 E000.35.30.583 COLOR_Taxiway ; Taxiway-NE
N044.10.34.738 E000.35.30.583 N044.10.34.606 E000.35.30.501 COLOR_Taxiway ; Taxiway-NE
N044.10.34.606 E000.35.30.501 N044.10.34.518 E000.35.30.448 COLOR_Taxiway ; Taxiway-NE
N044.10.34.518 E000.35.30.448 N044.10.34.431 E000.35.30.398 COLOR_Taxiway ; Taxiway-NE
N044.10.34.431 E000.35.30.398 N044.10.34.355 E000.35.30.365 COLOR_Taxiway ; Taxiway-NE
N044.10.34.355 E000.35.30.365 N044.10.34.275 E000.35.30.349 COLOR_Taxiway ; Taxiway-NE
N044.10.34.275 E000.35.30.349 N044.10.34.196 E000.35.30.378 COLOR_Taxiway ; Taxiway-NE
N044.10.34.196 E000.35.30.378 N044.10.34.116 E000.35.30.410 COLOR_Taxiway ; Taxiway-NE
N044.10.34.116 E000.35.30.410 N044.10.34.051 E000.35.30.468 COLOR_Taxiway ; Taxiway-NE
N044.10.34.051 E000.35.30.468 N044.10.33.987 E000.35.30.538 COLOR_Taxiway ; Taxiway-NE
N044.10.33.987 E000.35.30.538 N044.10.33.931 E000.35.30.632 COLOR_Taxiway ; Taxiway-NE
N044.10.33.931 E000.35.30.632 N044.10.33.878 E000.35.30.756 COLOR_Taxiway ; Taxiway-NE
N044.10.33.878 E000.35.30.756 N044.10.33.822 E000.35.30.932 COLOR_Taxiway ; Taxiway-NE
N044.10.33.822 E000.35.30.932 N044.10.33.445 E000.35.32.230 COLOR_Taxiway ; Taxiway-NE
N044.10.33.445 E000.35.32.230 N044.10.32.766 E000.35.34.545 COLOR_Taxiway ; Taxiway-NE
N044.10.32.766 E000.35.34.545 N044.10.32.296 E000.35.36.132 COLOR_Taxiway ; Taxiway-NE
N044.10.32.296 E000.35.36.132 N044.10.32.259 E000.35.36.322 COLOR_Taxiway ; Taxiway-NE
N044.10.32.259 E000.35.36.322 N044.10.32.262 E000.35.36.456 COLOR_Taxiway ; Taxiway-NE
N044.10.32.262 E000.35.36.456 N044.10.32.286 E000.35.36.580 COLOR_Taxiway ; Taxiway-NE
N044.10.32.286 E000.35.36.580 N044.10.32.327 E000.35.36.680 COLOR_Taxiway ; Taxiway-NE
N044.10.32.327 E000.35.36.680 N044.10.32.371 E000.35.36.789 COLOR_Taxiway ; Taxiway-NE
N044.10.32.371 E000.35.36.789 N044.10.32.416 E000.35.36.865 COLOR_Taxiway ; Taxiway-NE
N044.10.29.015 E000.35.27.880 N044.10.29.095 E000.35.27.806 COLOR_Taxiway ; Taxiway-ME
N044.10.29.095 E000.35.27.806 N044.10.29.168 E000.35.27.721 COLOR_Taxiway ; Taxiway-ME
N044.10.29.168 E000.35.27.721 N044.10.29.248 E000.35.27.635 COLOR_Taxiway ; Taxiway-ME
N044.10.29.248 E000.35.27.635 N044.10.29.326 E000.35.27.573 COLOR_Taxiway ; Taxiway-ME
N044.10.29.326 E000.35.27.573 N044.10.29.412 E000.35.27.511 COLOR_Taxiway ; Taxiway-ME
N044.10.29.412 E000.35.27.511 N044.10.29.496 E000.35.27.469 COLOR_Taxiway ; Taxiway-ME
N044.10.29.496 E000.35.27.469 N044.10.29.579 E000.35.27.434 COLOR_Taxiway ; Taxiway-ME
N044.10.29.579 E000.35.27.434 N044.10.29.671 E000.35.27.414 COLOR_Taxiway ; Taxiway-ME
N044.10.29.671 E000.35.27.414 N044.10.29.752 E000.35.27.414 COLOR_Taxiway ; Taxiway-ME
N044.10.29.752 E000.35.27.414 N044.10.29.857 E000.35.27.422 COLOR_Taxiway ; Taxiway-ME
N044.10.29.857 E000.35.27.422 N044.10.29.952 E000.35.27.437 COLOR_Taxiway ; Taxiway-ME
N044.10.29.952 E000.35.27.437 N044.10.30.038 E000.35.27.461 COLOR_Taxiway ; Taxiway-ME
N044.10.30.038 E000.35.27.461 N044.10.30.122 E000.35.27.488 COLOR_Taxiway ; Taxiway-ME
N044.10.30.122 E000.35.27.488 N044.10.30.822 E000.35.27.906 COLOR_Taxiway ; Taxiway-ME
N044.10.30.822 E000.35.27.906 N044.10.32.200 E000.35.28.866 COLOR_Taxiway ; Taxiway-ME
N044.10.32.200 E000.35.28.866 N044.10.33.010 E000.35.29.428 COLOR_Taxiway ; Taxiway-ME
N044.10.33.010 E000.35.29.428 N044.10.33.131 E000.35.29.524 COLOR_Taxiway ; Taxiway-ME
