COLOR_GrasSurface          
N044.49.37.863 W000.41.45.318
N044.49.38.020 W000.41.45.244
N044.49.38.114 W000.41.45.209
N044.49.38.146 W000.41.45.203
N044.49.38.171 W000.41.45.208
N044.49.38.190 W000.41.45.220
N044.49.38.616 W000.41.45.548
N044.49.38.645 W000.41.45.563
N044.49.38.664 W000.41.45.563
N044.49.38.683 W000.41.45.554
N044.49.39.849 W000.41.44.648
N044.49.39.907 W000.41.44.595
N044.49.40.321 W000.41.43.522
N044.49.41.413 W000.41.44.338
N044.49.41.259 W000.41.44.687
N044.49.41.785 W000.41.45.075
N044.49.43.034 W000.41.46.003
N044.49.42.992 W000.41.46.172
N044.49.44.679 W000.41.54.308
N044.49.44.338 W000.41.54.734
N044.49.44.677 W000.42.00.200
N044.49.46.515 W000.42.01.971
N044.49.47.837 W000.42.03.727
N044.49.49.505 W000.42.07.143
N044.49.53.144 W000.42.11.256
N044.49.55.488 W000.42.08.293
N044.49.55.759 W000.42.07.967
N044.49.57.006 W000.42.06.129
N044.49.57.264 W000.42.05.782
N044.49.59.649 W000.42.02.578
N044.50.00.781 W000.42.01.518
N044.50.01.268 W000.42.00.852
N044.50.02.713 W000.41.59.526
N044.50.03.465 W000.41.59.341
N044.50.03.621 W000.41.59.544


COLOR_HardSurface4         
N044.50.08.399 W000.42.55.655
N044.50.08.134 W000.42.56.028
N044.50.07.885 W000.42.56.357
N044.50.07.677 W000.42.56.571
N044.50.07.504 W000.42.56.729
N044.50.07.324 W000.42.56.861
N044.50.07.120 W000.42.56.972
N044.50.06.929 W000.42.57.053
N044.50.06.756 W000.42.57.097
N044.50.06.561 W000.42.57.132
N044.50.06.336 W000.42.57.143
N044.50.06.094 W000.42.57.125
N044.50.05.843 W000.42.57.071
N044.50.05.590 W000.42.56.974
N044.50.05.376 W000.42.56.850
N044.50.05.205 W000.42.56.728
N044.50.05.029 W000.42.56.583
N044.50.04.831 W000.42.56.372
N044.50.04.600 W000.42.56.048
N044.50.03.443 W000.42.54.441
N044.50.02.996 W000.42.53.838
N044.50.02.750 W000.42.53.487
N044.50.02.681 W000.42.53.398
N044.50.02.627 W000.42.53.349
N044.50.02.563 W000.42.53.327
N044.50.02.428 W000.42.53.317
N044.50.02.294 W000.42.53.332
N044.50.02.131 W000.42.53.435
N044.50.01.966 W000.42.53.579
N044.50.01.820 W000.42.53.770
N044.50.01.680 W000.42.54.023
N044.50.01.556 W000.42.54.324
N044.50.01.208 W000.42.55.276
N044.50.00.876 W000.42.56.423
N044.49.57.853 W000.43.06.810
N044.49.57.364 W000.43.08.561
N044.49.56.911 W000.43.10.127
N044.49.56.778 W000.43.10.575
N044.49.56.678 W000.43.10.925
N044.49.56.578 W000.43.11.246
N044.49.56.493 W000.43.11.504
N044.49.56.415 W000.43.11.715
N044.49.56.328 W000.43.11.938
N044.49.56.222 W000.43.12.187
N044.49.56.124 W000.43.12.411
N044.49.56.020 W000.43.12.625
N044.49.55.905 W000.43.12.837
N044.49.55.727 W000.43.13.140
N044.49.55.569 W000.43.13.387
N044.49.55.363 W000.43.13.678
N044.49.55.170 W000.43.13.934
N044.49.55.011 W000.43.14.135
N044.49.54.853 W000.43.14.314
N044.49.54.683 W000.43.14.494
N044.49.54.548 W000.43.14.627
N044.49.54.410 W000.43.14.756
N044.49.54.249 W000.43.14.884
N044.49.54.014 W000.43.15.053
N044.49.53.799 W000.43.15.211
N044.49.53.556 W000.43.15.369
N044.49.53.283 W000.43.15.527
N044.49.53.822 W000.43.14.720
N044.49.54.131 W000.43.13.796
N044.49.54.260 W000.43.12.920
N044.49.54.231 W000.43.12.254
N044.49.54.120 W000.43.11.479
N044.49.54.186 W000.43.11.642
N044.49.54.228 W000.43.11.725
N044.49.54.276 W000.43.11.794
N044.49.54.352 W000.43.11.870
N044.49.54.449 W000.43.11.944
N044.49.54.575 W000.43.12.025
N044.49.54.758 W000.43.12.113
N044.49.54.920 W000.43.12.157
N044.49.55.053 W000.43.12.159
N044.49.55.153 W000.43.12.141
N044.49.55.204 W000.43.12.111
N044.49.55.247 W000.43.12.071
N044.49.55.643 W000.43.11.463
N044.49.55.799 W000.43.11.171
N044.49.55.951 W000.43.10.842
N044.49.56.072 W000.43.10.551
N044.49.56.405 W000.43.09.517
N044.49.56.807 W000.43.08.181
N044.49.59.217 W000.43.00.068
N044.50.00.448 W000.42.55.305
N044.50.00.707 W000.42.54.532
N044.50.00.849 W000.42.54.119
N044.50.00.991 W000.42.53.731
N044.50.01.224 W000.42.53.236
N044.50.01.446 W000.42.52.838
N044.50.01.581 W000.42.52.640
N044.50.01.734 W000.42.52.482
N044.50.01.877 W000.42.52.387
N044.50.02.025 W000.42.52.313
N044.50.02.178 W000.42.52.273
N044.50.02.298 W000.42.52.271
N044.50.02.470 W000.42.52.307
N044.50.02.612 W000.42.52.343
N044.50.02.734 W000.42.52.390
N044.50.02.812 W000.42.52.430
N044.50.02.909 W000.42.52.269
N044.50.03.207 W000.42.52.689
N044.50.04.515 W000.42.54.489
N044.50.04.657 W000.42.54.687
N044.50.04.733 W000.42.54.770
N044.50.04.870 W000.42.54.898
N044.50.05.345 W000.42.55.369
N044.50.05.569 W000.42.55.537
N044.50.05.758 W000.42.55.656
N044.50.05.919 W000.42.55.741
N044.50.06.083 W000.42.55.808
N044.50.06.232 W000.42.55.845
N044.50.06.373 W000.42.55.852
N044.50.06.483 W000.42.55.843
N044.50.06.666 W000.42.55.795
N044.50.06.840 W000.42.55.729
N044.50.07.012 W000.42.55.641
N044.50.07.194 W000.42.55.526
N044.50.07.418 W000.42.55.332
N044.50.07.683 W000.42.55.041
N044.50.08.006 W000.42.54.705
N044.50.08.201 W000.42.54.459
N044.50.08.855 W000.42.53.524
N044.50.09.192 W000.42.53.045
N044.50.09.707 W000.42.53.770


COLOR_HardSurface4         
N044.50.15.282 W000.42.52.282
N044.50.16.247 W000.42.53.548
N044.50.16.347 W000.42.53.675
N044.50.16.489 W000.42.53.837
N044.50.16.606 W000.42.53.959
N044.50.16.702 W000.42.54.076
N044.50.16.543 W000.42.54.321
N044.50.16.443 W000.42.54.180
N044.50.16.361 W000.42.54.040
N044.50.16.183 W000.42.53.797
N044.50.15.166 W000.42.52.450


COLOR_HardSurface3         
N044.50.10.607 W000.41.55.105
N044.50.10.569 W000.41.55.033
N044.50.10.543 W000.41.55.011
N044.50.09.208 W000.41.53.193
N044.50.09.152 W000.41.53.124
N044.50.09.109 W000.41.53.072
N044.50.09.086 W000.41.53.052
N044.50.09.060 W000.41.53.035
N044.50.09.299 W000.41.52.686
N044.50.09.339 W000.41.52.734
N044.50.09.387 W000.41.52.783
N044.50.09.435 W000.41.52.813
N044.50.09.479 W000.41.52.831
N044.50.09.517 W000.41.52.835
N044.50.09.559 W000.41.52.827
N044.50.09.599 W000.41.52.803
N044.50.09.636 W000.41.52.764
N044.50.09.675 W000.41.52.710
N044.50.10.057 W000.41.52.147
N044.50.10.078 W000.41.52.099
N044.50.10.086 W000.41.52.040
N044.50.10.084 W000.41.51.959
N044.50.10.072 W000.41.51.879
N044.50.10.055 W000.41.51.809
N044.50.10.029 W000.41.51.745
N044.50.09.992 W000.41.51.695
N044.50.10.288 W000.41.51.273
N044.50.10.322 W000.41.51.315
N044.50.10.366 W000.41.51.353
N044.50.10.419 W000.41.51.381
N044.50.10.488 W000.41.51.389
N044.50.10.549 W000.41.51.374
N044.50.10.601 W000.41.51.344
N044.50.10.656 W000.41.51.285
